Nome da Unidade de Conservação conforme o Ato legal,Grupo (SNUC),Gerência Regional do ICMBio,Código CNUC (MMA),Atos legais (Criação ou redefinição),UF de Abrangência,Bioma* (IBGE 1:250mil),Bioma para fins de Compensação de Reserva Legal,Área (em hectares)**
ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Uso Sustentável,GR5,0000.00.0001,DEC 528 de 20/05/1992,SC,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,4436.59022669
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,Uso Sustentável,GR4,0000.00.1521,DEC 87.561 de 13/09/1982,MG/RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA,292599.924224
ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA,Uso Sustentável,GR4,0000.00.0020,DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996,MG,CERRADO,CERRADO,37735.5772362
ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Uso Sustentável,GR4,0000.00.0002,DEC 98.182 de 26/09/1989,MG,CERRADO,CAATINGA e CERRADO,143355.585707
ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS,Uso Sustentável,GR4,0000.00.1912,DEC S/N de 17/06/2010,ES,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,115001.922234
ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL,Uso Sustentável,GR2,0000.00.3696,DEC 9.402 de 05/06/2018,BA,CAATINGA,CAATINGA,90641.9177311
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,Uso Sustentável,GR3,0000.00.0003,DEC 88.940 de 07/11/1983,GO/DF,CERRADO,CERRADO,41783.6139427
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,Uso Sustentável,GR3,0000.00.0004,DEC 88.940 de 07/11/1983,DF,CERRADO,CERRADO,82680.8036275
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO,Uso Sustentável,GR4,0000.00.0005,DEC S/N de 27/06/2002,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,150374.606758
ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Uso Sustentável,GR5,0000.00.0006,DEC S/N de 14/09/2000,SC,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,154867.403496
ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,Uso Sustentável,GR2,0000.00.0007,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,PB,MATA ATLÂNTICA,SISTEMA COSTEIRO-MARINHO e MATA ATLÂNTICA,14917.7912047
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DO ARARIPE,Uso Sustentável,GR2,0000.00.0008,DEC S/N de 04/08/1997,PI/CE/PE,CAATINGA,CAATINGA,1017366.23833
ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS,Uso Sustentável,GR2,0000.00.0009,"DEC S/N de 23/10/1997, DEC 12.490 de 05/06/2025",PE/AL,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,495084.04479
ÁREA DE PROTEÇÃO AMBIENTAL DA FOZ DO RIO DOCE,Uso Sustentável,GR4,0000.00.5126,"DEC 12.483, de 03/06/2025",ES,MATA ATLÂNTICA,SISTEMA COSTEIRO-MARINHO e MATA ATLÂNTICA,45417.3791322
ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS,Uso Sustentável,GR4,0000.00.0010,DEC 87.561 de 13/09/1982; DEC  527 de 20/05/1992; LEI 14.452 de 21/09/2022; LEI 14.516 de 29/12/2022,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,58691.3157367
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA MANTIQUEIRA,Uso Sustentável,GR4,0000.00.0011,DEC 91.304 de 03/06/1985; LEI 9.097 de 19/09/1995,MG/RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA,437525.100693
ÁREA DE PROTEÇÃO AMBIENTAL DAS ILHAS E VÁRZEAS DO RIO PARANÁ,Uso Sustentável,GR5,0000.00.0025,DEC S/N de 30/09/1997,SP/PR/MS,MATA ATLÂNTICA,MATA ATLÂNTICA,1005188.38514
ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,Uso Sustentável,GR3,0000.00.0028,DEC S/N de 27/09/2001,BA/GO,CERRADO,CERRADO,173968.869204
ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Uso Sustentável,GR4,0000.00.0013,DEC 89.242 de 27/12/1983,RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,32610.7779069
ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPE-PERUÍBE,Uso Sustentável,GR4,0000.00.0014,DEC 90.347 de 23/10/1984; DEC  91.892 de 6/11/1985,SP,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,202309.580662
ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SÃO PEDRO E SÃO PAULO,Uso Sustentável,GR2,0000.00.0015,DEC 92.755 de 05/06/1986,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,154405.815629
ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,Uso Sustentável,GR4,0000.00.0016,DEC 90.225 de 25/09/1984,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,13890.5382227
