"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE PRESERVAÇÃO AMBIENTAL DO CÓRREGO DA LAGOA","Brazil","Goiás","OUVIDOR (GO)","Uso Sustentável","3.594","cnuc_2025_08.csv",NA,"AREA_DE_PRESERVACAO_AMBIENTAL_DO_CORREGO_DA_LAGOA"
"ÁREA DE PRESERVAÇÃO AMBIENTAL RIO PIRACICABA","Brazil","Minas Gerais","RIO PIRACICABA (MG)","Uso Sustentável","4.752","cnuc_2025_08.csv",NA,"AREA_DE_PRESERVACAO_AMBIENTAL_RIO_PIRACICABA"
"ÁREA DE PROTECAO AMBIENTAL CORREGO DA MATA","Brazil","Minas Gerais","SANTA MARIA DE ITABIRA (MG)","Uso Sustentável","3.026","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_CORREGO_DA_MATA"
"ÁREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE","Brazil","Goiás","NOVA AURORA (GO)","Uso Sustentável","3.787","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_DA_BACIA_DO_CORREGO_CAPAO_GRANDE"
"ARÉA DE PROTEÇÃO AMBIENTAL DE RIBEIRÃOZINHO E ALCANTILADO DO RIO ARAGUAIA","Brazil","Mato Grosso","RIBEIRÃOZINHO (MT)","Uso Sustentável","2.851","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_DE_RIBEIRAOZINHO_E_ALCANTILADO_DO_RIO_ARAGUAIA"
"ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ","Brazil","Rio de Janeiro","NOVA IGUAÇU (RJ)","Uso Sustentável","1.879","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_DE_TINGUA"
"ÀREA DE PROTEÇÃO AMBIENTAL DO SANA","Brazil","Rio de Janeiro","MACAÉ (RJ)","Uso Sustentável","2.047","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_DO_SANA"
"ÁREA DE PROTECAO AMBIENTAL MUNICIPAL PIRACANJUBINHA","Brazil","Goiás","GAMELEIRA DE GOIÁS (GO)","Uso Sustentável","3.865","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_MUNICIPAL_PIRACANJUBINHA"
"ÀREA DE PROTEÇÃO AMBIENTAL RETIRO","Brazil","Rio de Janeiro","NOVA IGUAÇU (RJ)","Uso Sustentável","1.873","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_RETIRO"
"ÀREA DE PROTEÇÃO AMBIENTAL RIO D´OURO","Brazil","Rio de Janeiro","NOVA IGUAÇU (RJ)","Uso Sustentável","1.871","cnuc_2025_08.csv",NA,"AREA_DE_PROTECAO_AMBIENTAL_RIO_D´OURO"
