"Área de Proteção Ambiental","E-mail","Telefone","Endereço da Sede","Município","Documentos Legais","Atualização","Correspondência CNUC","nome_uc","Nome.da.UC","Área de Proteção Ambiental Marinha","Área de Relevante Interesse Ecológico","Estação Ecológica","Estação Experimental","Floresta Estadual","Monumento Natural Estadual","Parque Estadual","Endereço da sede","Reserva de Desenvolvimento Sustentável","Reserva Extrativista","Nº","RPPN","MUNICÍPIO","RESOLUÇÃO DE CRIAÇÃO","ÁREA EM HECTARES","APROVAÇÃO PLANO DE MANEJO","Refúgio da Vida Silvestre"
"Banhado","nchorn@fflorestal.sp.gov.br","11 2997-5076","Região Central de São José dos Campos e adjacências – bairro Registro","São José dos Campos","Lei nº 11.262, de 08 de novembro de 2002","26/09/2024","ok","Área de Proteção Ambiental Banhado","ÁREA DE PROTEÇÃO AMBIENTAL BANHADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabreúva","pedro.oliva@fflorestal.sp.gov.br","11 2997-5000 R312","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Decreto n. 43.284, de 3 de julho de 1998
 Lei Estadual Nº 4.023
 Lei nº 12.289, de 02 de março de 2006
 Resolução SIMA","29/02/2024","ok","Área de Proteção Ambiental Cabreúva","ÁREA DE PROTEÇÃO AMBIENTAL CABREÚVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajamar","cleide@fflorestal.sp.gov.br","11 998687276","Av. Brasil 2340, ED. CATI n.1 Bloco A- Jd","Campinas","Lei Estadual Nº 4.055","26/03/2024","ok","Área de Proteção Ambiental Cajamar","ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajati","domingosoliveira@fflorestal.sp.gov.br","13 3821-4494 / 13 3821-5030","Av. Clara Geanotti de Souza, n° 1.139 – CEP 11900-000","Registro","Lei Estadual nº 12.810","10/04/2024","ok","Área de Proteção Ambiental Cajati","ÁREA DE PROTEÇÃO AMBIENTAL CAJATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campos do Jordão","apascj.sm@fflorestal.sp.gov.br","12 36631977","V. Pedro Paulo, s/nº – Horto Florestal – CEP 12460-000","Campos do Jordão","Lei Estadual nº 4.105","10/04/2024","ok","Área de Proteção Ambiental Campos do Jordão","ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corumbataí-Botucatu-Tejupá","apacorumbatai@fflorestal.sp.gov.br","16 99629-8575","Rua Bernardino Fernandes Nunes, 555 – Cidade Jardim – CEP 13566-490","São Carlos","Decreto Estadual nº20.960","10/04/2024","nao. talvez as 3 APAs com nome de cuesta?","Área de Proteção Ambiental Corumbataí-Botucatu-Tejupá","ÁREA DE PROTEÇÃO AMBIENTAL CORUMBATAÍ-BOTUCATU-TEJUPÁ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corumbataí-Botucatu-Tejupá – Perímetro Botucatú","mariosr@fflorestal.sp.gov.br","14 99747-1136","Rodovia Marechal Rondon, km 248 – Jardim Marajoar CEP: 18605-265","Botucatu","Decreto Estadual nº20.960","27/03/2024","não","Área de Proteção Ambiental Corumbataí-Botucatu-Tejupá – Perímetro Botucatú","ÁREA DE PROTEÇÃO AMBIENTAL CORUMBATAÍ-BOTUCATU-TEJUPÁ – PERÍMETRO BOTUCATÚ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corumbataí-Botucatu-Tejupá – Perímetro Corumbataí","apacorumbatai@fflorestal.sp.gov.br","19 3438-7116","Rodovia Luiz de Queiroz, km 149, SP 304 Bairro: Tupi CEP: 13428-000","Piracicaba","Decreto Estadual nº20.960","27/03/2024","não","Área de Proteção Ambiental Corumbataí-Botucatu-Tejupá – Perímetro Corumbataí","ÁREA DE PROTEÇÃO AMBIENTAL CORUMBATAÍ-BOTUCATU-TEJUPÁ – PERÍMETRO CORUMBATAÍ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corumbataí-Botucatu-Tejupá – Perímetro Tejupá","elisa@fflorestal.sp.gov.br","14 3814-1144","Rua Cardoso de Almeida, 2.839 – Botucatu – CEP 18605-560","Botucatu","Decreto Estadual nº20.960","10/04/2024","não","Área de Proteção Ambiental Corumbataí-Botucatu-Tejupá – Perímetro Tejupá","ÁREA DE PROTEÇÃO AMBIENTAL CORUMBATAÍ-BOTUCATU-TEJUPÁ – PERÍMETRO TEJUPÁ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rio Vermelho e Pardinho","domingosoliveira@fflorestal.sp.gov.br","13 38214494 / 13 38215030","Av. Clara Geanotti de Souza, n° 1.139 – CEP 11900-000","Registro","Lei Estadual nº 12.810","10/04/2024","não","Área de Proteção Ambiental Rio Vermelho e Pardinho","ÁREA DE PROTEÇÃO AMBIENTAL RIO VERMELHO E PARDINHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haras São Bernardo","alephbp@fflorestal.sp.gov.br","11 2997-5000 R351","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros- CEP 05459-010","São Paulo","Lei Estadual nº5.745","10/04/2024","ok","Área de Proteção Ambiental Haras São Bernardo","ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ibitinga","pamelatg@fflorestal.sp.gov.br","16 997206296","16 997206296Roque Raineri, 81 – Jd. Centenário – Sala Cedida pela FAIBI, CEP 14940-000","Ibitinga","Lei Estadual Nº 5.536","05/04/2024","ok","Área de Proteção Ambiental Ibitinga","ÁREA DE PROTEÇÃO AMBIENTAL IBITINGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilha Comprida","apailhacomprida@fflorestal.sp.gov.br","13 3841-1287","Praça São Benedito, 110 – Centro – Cep: 11920-000","Iguape","Decreto Estadual nº26.881
 Plano de Manejo
 Minuta Zoneamento da Área de Proteção Ambiental Ilha Comprida
 Lista de espécies
 Mapa","01/03/2024","ok","Área de Proteção Ambiental Ilha Comprida","ÁREA DE PROTEÇÃO AMBIENTAL ILHA COMPRIDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itupararanga","waldnirgm@fflorestal.sp.gov.br","15 3233-8464
 11 912708693","R. Epitácio Pessoa, 269 – Além Ponte CEP – 18013-190","Sorocaba","–","05/04/2024","ok","Área de Proteção Ambiental Itupararanga","ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jundiaí","cleide@fflorestal.sp.gov.br","11 998687276","Av. Brasil 2340, ED. CATI n.1 Bloco A- Jd","Campinas","Lei Estadual nº4.095","26/03/2024","ok","Área de Proteção Ambiental Jundiaí","ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mata do Iguatemi","gustavoalexandre@fflorestal.sp.gov.br","11 2997-5007 R5311","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Lei Estadual Nº 8.284","27/03/2024","ok","Área de Proteção Ambiental Mata do Iguatemi","ÁREA DE PROTEÇÃO AMBIENTAL MATA DO IGUATEMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
