TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,42,42,PA,Reserva Biológica Do Lago Piratuba,Reserva Biológica Do Lago Piratuba,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,43.91639478,53.9193805888303,3924.738417,3924.70920552999,Not Applicable,0,Designated,1980,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,43,43,PA,Reserva Biológica Do Rio Trombetas,Reserva Biológica Do Rio Trombetas,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,4077.592519,4077.56374761689,Not Applicable,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,44,44,PA,Reserva Biológica Do Jaru,Reserva Biológica Do Jaru,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,3468.637339,3468.612840081,Not Applicable,0,Designated,1961,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,46,46,PA,Reserva Biológica Atol Das Rocas,Reserva Biológica Atol Das Rocas,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Marine,344.7169347,351.426644569515,351.870193,351.867660677709,Not Reported,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,47,47,PA,Reserva Biológica De Sooretama,Reserva Biológica De Sooretama,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,278.591281,278.589118577112,Not Applicable,0,Designated,1982,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,48,48,PA,Reserva Biológica De Una,Reserva Biológica De Una,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0.0300512697219402,187.250757,187.249070147283,Not Applicable,0,Designated,1980,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,49,49,PA,Reserva Biológica De Poço Das Antas,Reserva Biológica De Poço Das Antas,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,50.525183,50.5249791014382,Not Applicable,0,Designated,1974,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,51,51,PA,Reserva Biológica Do Córrego Do Veado,Reserva Biológica Do Córrego Do Veado,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,23.757473,23.7574743153332,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,52,52,PA,Reserva Biológica De Serra Negra,Reserva Biológica De Serra Negra,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,6.248565,6.24853870277389,Not Applicable,0,Designated,1982,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,53,53,PA,Parque Nacional Do Jaú,Parque Nacional Do Jaú,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,23673.576345,23673.4071496385,Not Applicable,0,Designated,1980,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,54,54,PA,Parque Nacional Do Pico Da Neblina,Parque Nacional Do Pico Da Neblina,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,22474.257534,22525.4646177884,Not Applicable,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,55,55,PA,Parque Nacional Da Amazônia,Parque Nacional Da Amazônia,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,10662.948544,10662.8754412661,Not Applicable,0,Designated,1974,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,56,56,PA,Parque Nacional De Pacaás Novos,Parque Nacional De Pacaás Novos,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,7061.222249,7061.17110065297,Not Applicable,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,57,57,PA,Parque Nacional Do Cabo Orange,Parque Nacional Do Cabo Orange,Parque,Park,National,II,Not Applicable,Coastal,2143.209182,2277.07238117792,6573.370402,6573.32683100597,Not Reported,0,Designated,1980,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,58,58,PA,Parque Nacional Do Araguaia,Parque Nacional Do Araguaia,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,5555.051493,5555.01404504304,Not Applicable,0,Designated,1959,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,59,59,PA,Parque Nacional Da Chapada Dos Veadeiros,Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,2405.866288,2405.84865245928,Not Applicable,0,Designated,1961,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,60,60,PA,Parque Nacional Do Iguaçu,Parque Nacional Do Iguaçu,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,1694.274857,1698.50632864058,Not Applicable,0,Designated,1939,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,61,61,PA,Parque Nacional Dos Lençóis Maranhenses,Parque Nacional Dos Lençóis Maranhenses,Parque,Park,National,II,Not Applicable,Terrestrial,104.1832099,131.347072466273,1571.747733,1571.73633888126,Not Applicable,0,Designated,1981,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,62,62,PA,Parque Nacional Das Emas,Parque Nacional Das Emas,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,1327.877786,1327.86820132401,Not Applicable,0,Designated,1961,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
