Código CNUC,Nome,Ato Legal de Criação,Link para o Ato Legal de Criação,Outros atos legais,Link para outros atos legais,Plano de Manejo,Link para Plano de Manejo,Documento de Conselho,Link para Documento de Conselho,Outros Instrumentos de Gestão,Link para outros instrumentos de gestão,Endereço para Correspondência,Telefones,E-mails,UFs abrangidas,Municípios abrangidos,Geocódigo das UFs abrangidas,Geocódigo dos municípios abrangidos,Área da UC conforme ato legal de criação (ha),Área total da UC confome ato legal mais recente (ha),Mapa da UC,Site da UC,Página da UC no CNUC,API UC,Logotipo da UC,Redes Sociais,Número de Visitantes por ano,Programa Projeto Gestão Integrada e Reconhecimento Internacional,Situação
0000.00.0011,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,Decreto 91304 de 03/06/1985,http://www.icmbio.gov.br/ChicoMendes/DecretosCriacao/UsoSustentavel/APA/Serra_da-Mantiqueira.pdf,Sem informação.,Sem informação.,Portaria 1046 de 03/12/0218,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Portaria 49/04N de 07/05/2004,Sem informação.,Sem informação.,Sem informação.,"Avenida Inspetor Jonas Pezzo Costa,1757, Horto Florestal, Itamonte, MG - 37466000",(35) 3363-2136,apa_mantiqueira@icmbio.gov.br - ngi.mantiqueira@icmbio.gov.br,MINAS GERAIS - RIO DE JANEIRO - SÃO PAULO,AIURUOCA (MG) - ALAGOA (MG) - BAEPENDI (MG) - BOCAINA DE MINAS (MG) - CAMPOS DO JORDÃO (SP) - CRUZEIRO (SP) - DELFIM MOREIRA (MG) - GUARATINGUETÁ (SP) - ITAMONTE (MG) - ITANHANDU (MG) - ITATIAIA (RJ) - LAVRINHAS (SP) - LIBERDADE (MG) - LORENA (SP) - MARMELÓPOLIS (MG) - PASSA QUATRO (MG) - PASSA VINTE (MG) - PINDAMONHANGABA (SP) - PIQUETE (SP) - PIRANGUÇU (MG) - POUSO ALTO (MG) - QUELUZ (SP) - RESENDE (RJ) - SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP) - VIRGÍNIA (MG) - WENCESLAU BRAZ (MG),31 - 33 - 35,3101201 - 3101300 - 3104908 - 3107208 - 3509700 - 3513405 - 3121100 - 3518404 - 3133006 - 3133105 - 3302254 - 3526605 - 3138500 - 3527207 - 3140407 - 3147600 - 3147808 - 3538006 - 3538501 - 3150901 - 3152600 - 3541901 - 3304201 - 3548203 - 3548609 - 3171709 - 3172202,"411.184,00","411.184,00",https://cnuc.mma.gov.br/map/11,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/11,http://cnuc-backend.mma.gov.br/api/v1/uc/11,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Mantiqueira,Ativo
0000.00.0014,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,Decreto 90347 de 23/10/1984,http://www.ibama.gov.br/siucweb/mostraDocLegal.php?seq_uc=44&seq_tp_documento=3&seq_finaliddoc=7,Ampliação: Decreto 91892 de 06/11/1995,Ampliação: http://www.ibama.gov.br/siucweb/mostraDocLegal.php?seq_uc=44&seq_tp_documento=3&seq_finaliddoc=46,Portaria 14 de 22/02/2016,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Portaria 64 de 19/04/2002,Sem informação.,Sem informação.,Sem informação.,"Rua da Saudade, nº 350, Canto do Morro, Iguape, SP - 11920000",(13) 3841-2692 - (13) 3841-5312,apacip@icmbio.gov.br - ngiiguape@icmbio.gov.br,SÃO PAULO,CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP),35,3509908 - 3520301 - 3520426 - 3523305 - 3529906 - 3537602,"196.955,00","37.045,00",https://cnuc.mma.gov.br/map/14,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/14,http://cnuc-backend.mma.gov.br/api/v1/uc/14,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Litoral de São Paulo - Projeto Projeto GEF Mar - Áreas Marinhas e Costeiras Protegidas - Sítio do Patrimônio Sítio do Patrimônio Reservas do Sudeste da Mata Atlântica - Sítio Ramsar Sítio Ramsar APA Cananéia - Iguape - Peruíbe,Ativo
0000.00.0025,ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,Decreto S/N de 30/09/1997,http://www.icmbio.gov.br/ChicoMendes/DecretosCriacao/UsoSustentavel/APA/Ilhas_e_Varzeas_do_Rio_Parana.pdf,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Portaria 86 de 30/10/2009,Sem informação.,Sem informação.,Sem informação.,"Rua Oliveira Marques, 2637, Jardim Central, Dourados, MS - 79805021",(44) 3624-1776,erick.xavier@icmbio.gov.br,MATO GROSSO DO SUL - PARANÁ - SÃO PAULO,ALTÔNIA (PR) - ALTO PARAÍSO (PR) - BATAYPORÃ (MS) - DIAMANTE DO NORTE (PR) - ELDORADO (MS) - GUAÍRA (PR) - ICARAÍMA (PR) - IGUATEMI (MS) - ITAQUIRAÍ (MS) - IVATÉ (PR) - IVINHEMA (MS) - JAPORÃ (MS) - JATEÍ (MS) - MARILENA (PR) - MUNDO NOVO (MS) - NAVIRAÍ (MS) - NOVA ANDRADINA (MS) - NOVA LONDRINA (PR) - NOVO HORIZONTE DO SUL (MS) - PORTO RICO (PR) - QUERÊNCIA DO NORTE (PR) - ROSANA (SP) - SANTA CRUZ DE MONTE CASTELO (PR) - SÃO JORGE DO PATROCÍNIO (PR) - SÃO PEDRO DO PARANÁ (PR) - TAQUARUSSU (MS) - TERRA ROXA (PR),50 - 41 - 35,4100509 - 4128625 - 5002001 - 4107108 - 5003751 - 4108809 - 4109906 - 5004304 - 5004601 - 4111555 - 5004700 - 5004809 - 5005103 - 4115002 - 5005681 - 5005707 - 5006200 - 4117107 - 5006259 - 4120200 - 4121000 - 3544251 - 4123303 - 4125357 - 4125902 - 5007976 - 4127403,"1.003.059,00","1.003.059,00",https://cnuc.mma.gov.br/map/25,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/25,http://cnuc-backend.mma.gov.br/api/v1/uc/25,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.00.0064,ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Decreto 94656 de 20/07/1987,http://www.icmbio.gov.br/ChicoMendes/DecretosCriacao/ProtecaoIntegral/EE/Tupinambas.pdf,Sem informação.,Sem informação.,Portaria 350 de 19/05/2017,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Portaria 107 de 02/12/2016,Sem informação.,Sem informação.,Sem informação.,"Av. Manoel Hipólito do Rego, 1907, Praia do Arrastão, São Sebastião, SP - 11605136",(12) 3892-4427,ngi.alcatrazes@icmbio.gov.br,SÃO PAULO,SÃO SEBASTIÃO (SP) - UBATUBA (SP),35,3550704 - 3555406,"27,82","27,82",https://cnuc.mma.gov.br/map/64,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/64,http://cnuc-backend.mma.gov.br/api/v1/uc/64,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.00.0071,ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Decreto 92964 de 21/07/1986,http://ibama2.ibama.gov.br/cnia2/renima/cnia/lema/lema_texto/HTM-ANTIGOS/92964-86.HTM,Sem informação.,Sem informação.,Portaria 31 de 19/03/2010,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"R. Dom Sebastião Leme, 135, Jardim Ivoty, Itanhaém, SP - 11740000",(13) 3427-2924 - (13) 3427-6832,esec.tupiniquins.sp@gmail.com - luciaguaraldo004@gmail.com - Lucia.guaraldo@icmbio.gov.br,SÃO PAULO,CANANÉIA (SP) - ITANHAÉM (SP) - PERUÍBE (SP),35,3509908 - 3522109 - 3537602,"43,25","43,25",https://cnuc.mma.gov.br/map/71,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/71,http://cnuc-backend.mma.gov.br/api/v1/uc/71,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Litoral de São Paulo,Ativo
0000.00.0073,ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,Decreto S/N de 16/07/2002,http://www.ibama.gov.br/siucweb/mostraDocLegal.php?seq_uc=153&seq_tp_documento=3&seq_finaliddoc=7.htm,Ampliação: Decreto S/N de 14/05/2004,Ampliação: http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2004/Dnn/Dnn10176.htm,Portaria 64 de 09/09/2008,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Portaria 26 de 17/02/2012,Sem informação.,Sem informação.,Sem informação.,"ESTRADA BOIADEIRA NORTE, N 3-27, VILA SANTA ROSA, Presidente Epitácio, SP - 19470000",(18) 3281-6046,esecmicoleaopreto@icmbio.gov.br - paulo.machado@icmbio.gov.br - umberto.baldan@icmbio.gov.br - valter.akazaki@icmbio.gov.br,SÃO PAULO,EUCLIDES DA CUNHA PAULISTA (SP) - MARABÁ PAULISTA (SP) - PRESIDENTE EPITÁCIO (SP) - TEODORO SAMPAIO (SP),35,3515350 - 3528700 - 3541307 - 3554300,"1.500,00","6.677,00",https://cnuc.mma.gov.br/map/73,Sem informação.,http://cnuc-backend.mma.gov.br/api/v1/report/uc/73,http://cnuc-backend.mma.gov.br/api/v1/uc/73,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.00.0142,PARQUE NACIONAL DA SERRA DA BOCAINA,Decreto 68.172 de 04/02/1971,http://www4.icmbio.gov.br/parna_bocaina//index.php?id_menu=7,Redução: Decreto 70.694 de 08/06/1972,Redução: http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/Bocaina_1.pdf,Portaria 112 de 21/08/2002,ato legal: http://www4.icmbio.gov.br/parna_bocaina//index.php?id_menu=50 | documento do Plano de Manejo: Sem informação.,Portaria 113 de 30/09/2010,http://www4.icmbio.gov.br/parna_bocaina/index.php?id_menu=66,Sem informação.,Sem informação.,"Rodovia Francisca Mendes Ribeiro, SP 221, Km 0, Centro, São José do Barreiro, SP - 12830000",(12) 3117-2143 - (24) 3371-3056,pnsb.rj@icmbio.gov.br,RIO DE JANEIRO - SÃO PAULO,ANGRA DOS REIS (RJ) - AREIAS (SP) - CUNHA (SP) - PARATY (RJ) - SÃO JOSÉ DO BARREIRO (SP) - UBATUBA (SP),33 - 35,3300100 - 3503505 - 3513603 - 3303807 - 3549607 - 3555406,"134.000,00","100.000,00",https://cnuc.mma.gov.br/map/142,Site: http://www.icmbio.gov.br/parna_bocaina,http://cnuc-backend.mma.gov.br/api/v1/report/uc/142,http://cnuc-backend.mma.gov.br/api/v1/uc/142,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Bocaina - Sítio do Patrimônio Sítio do Patrimônio Parati e Ilha Grande (Misto),Ativo
0000.00.0234,RESERVA EXTRATIVISTA MANDIRA,Decreto S/N de 13/12/2002,http://www6.senado.gov.br/legislacao/DetalhaDocumento.action?id=235874,Sem informação.,Sem informação.,Portaria 13/2001 de 10/12/2010,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Ata Res. 3/2010 de 10/12/2010,Sem informação.,Sem informação.,Sem informação.,"Rua José Antonio de Campos, 297 - Sala 22, Centro, Registro, SP - 11900000",(13) 3821-4039 - (13) 3822-3625,valtency.silva@icmbio.gov.br,SÃO PAULO,CANANÉIA (SP),35,3509908,"1.175,93","1.175,93",https://cnuc.mma.gov.br/map/234,Site: http://www.icmbio.gov.br/parna_bocaina,http://cnuc-backend.mma.gov.br/api/v1/report/uc/234,http://cnuc-backend.mma.gov.br/api/v1/uc/234,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Litoral de São Paulo - Projeto Projeto GEF Mar - Áreas Marinhas e Costeiras Protegidas,Ativo
0000.35.0800,PARQUE ESTADUAL DE CAMPOS DO JORDÃO,Decreto 11908 de 27/03/1941,Sem informação.,Sem informação.,Sem informação.,Resolução 3 de 10/01/2017,ato legal: http://fflorestal.sp.gov.br/pagina-inicial/planos-de-manejo/planos-de-manejo-planos-concluidos/planos-de-manejo-pe-de-campos-do-jordao/ | documento do Plano de Manejo: Sem informação.,Resolução 147 de 08/11/2017,http://www.ambiente.sp.gov.br/legislacao/resolucoes-sma/resolucao-sma-147-2017/,Sem informação.,Sem informação.,"Avenida Pedro Paulo s/nº, -, Campos do Jordão, SP - 12460000",(12) 3663-1977 - (12) 3663-3762,pe.camposjordao@fflorestal.sp.gov.br - pecjordao@ig.com.br,SÃO PAULO,CAMPOS DO JORDÃO (SP),35,3509700,"8.341,00","8.341,00",https://cnuc.mma.gov.br/map/800,Site: http://www.icmbio.gov.br/parna_bocaina,http://cnuc-backend.mma.gov.br/api/v1/report/uc/800,http://cnuc-backend.mma.gov.br/api/v1/uc/800,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Mantiqueira,Ativo
0000.35.0801,PARQUE ESTADUAL DO JURUPARÁ,Decreto 12.185 de 30/08/1978,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1978/decreto%20n.12.185,%20de%2030.08.1978.htm",Recategorização: Decreto 35703 de 22/09/1992 - Ampliação: Decreto 35704 de 22/09/1992,"Recategorização: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1978/decreto%20n.12.185,%20de%2030.08.1978.htm - Ampliação: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1992/decreto%20n.35.704,%20de%2022.09.1992.htm",Outros 03 de 27/01/2011,ato legal: http://www.fflorestal.sp.gov.br/planodemanejoCompletos.php | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Estrada Turística Cachoeira do França, Km 13,5, -, Ibiúna, SP - 18151000",(15) 3494-5570 - (15) 3494-5595,pe.jurupara@fflorestal.sp.gov.br,SÃO PAULO,IBIÚNA (SP) - PIEDADE (SP),35,3519709 - 3537800,"23.900,00","23.900,00",https://cnuc.mma.gov.br/map/801,Site: http://www.ambiente.sp.gov.br/fundacaoflorestal,http://cnuc-backend.mma.gov.br/api/v1/report/uc/801,http://cnuc-backend.mma.gov.br/api/v1/uc/801,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
