"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifcname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:EVB:3403"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB003403"|"3517"|"Cordeiro, J."|"2010-3-6"|"2010"|"3"|"6"|"Frutos imaturos"|""|"Brasil"|"São Paulo"|"São José do Barreiro"|"Serra da Boacaina."|"1640"|""|""|""|""|""|"Morales, M."|"7/3/2010"|""|""|""|"Mimosa bocainae Barneby"|"FABACEAE"|"Mimosa"|"bocainae"|""|"specie"|"Barneby"|"Angiospermas"|""|"Plantae"|""|"EVB 3403"
"Collection"|"Creative Commons"|"urn:catalog:EVB:3489"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB003489"|"s.n."|"da Costa, N.S.D."|"2013-3-19"|"2013"|"3"|"19"|"Flores com cálice verde e corola amarela."|""|"Brasil"|"São Paulo"|"Assis"|"Rodovia Raposo Tavares. saída de Assis para Ourinhos."|""|""|""|""|""|""|"Caxambu, M.G."|"30/4/2013"|""|""|""|"Senna rugosa (G.Don) H.S.Irwin & Barneby"|"FABACEAE"|"Senna"|"rugosa"|""|"specie"|"(G.Don) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"EVB 3489"
"Collection"|"Creative Commons"|"urn:catalog:RB:761828"|"RB"|"2017-10-14"|"RB"|"RB"|"RB00761828"|"454"|"L.B. Santos"|"2009-11-16"|"2009"|"11"|"16"|"Herbácea, em área aberta folhas membranáceas, pilosas, cálice verde, corola amarela com listras vermelhas"|""|"Brasil"|"São Paulo"|"Botucatu"|"Parque ecológio da Pavuna, da sede até a trilha da esquerda na entrada das cachoeiras, depois até bifurcação final à direita e a esquerda."|"750"|""|""|""|"-22.8375000"|"-46.5111111"|"L.B. dos Santos"|"3/2009"|""|""|""|"Crotalaria stipularia Desv."|"LEGUMINOSAE"|"Crotalaria"|"stipularia"|""|"specie"|"Desv."|"Angiospermas"|""|"Plantae"|""|"RB 568914"
"Collection"|"Creative Commons"|"urn:catalog:RB:164862"|"RB"|"2017-10-10"|"RB"|"RB"|"RB00164862"|"166"|"A. Löfgren"|"1908-12-21"|"1908"|"12"|"21"|"Arbusto regular, simples, hirto, fl. róseas. Comum."|""|"Brasil"|"São Paulo"|"São José dos Campos"|""|""|""|""|""|""|""|""|""|""|""|""|"Mimosa subsericea Benth."|"LEGUMINOSAE"|"Mimosa"|"subsericea"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"RB 4211"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4613"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004613"|"91"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2020"|""|""|""|"Cenostigma pluviosum (DC.) Gagnon & G.P.Lewis"|"FABACEAE"|"Cenostigma"|"pluviosum"|""|"specie"|"(DC.) Gagnon & G.P.Lewis"|"Angiospermas"|""|"Plantae"|""|"EVB 4613"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4614"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004614"|"163"|"Santos, E.F."|"2018-9-20"|"2018"|"9"|"20"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Inga sessilis (Vell.) Mart."|"FABACEAE"|"Inga"|"sessilis"|""|"specie"|"(Vell.) Mart."|"Angiospermas"|""|"Plantae"|""|"EVB 4614"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4615"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004615"|"117"|"Santos, E.F."|"2018-4-5"|"2018"|"4"|"5"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Senna occidentalis (L.) Link"|"FABACEAE"|"Senna"|"occidentalis"|""|"specie"|"(L.) Link"|"Angiospermas"|""|"Plantae"|""|"EVB 4615"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4616"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004616"|"78"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Indigofera hirsuta L."|"FABACEAE"|"Indigofera"|"hirsuta"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"EVB 4616"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4617"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004617"|"167"|"Santos, E.F."|"2018-10-30"|"2018"|"10"|"30"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Hymenaea courbaril L."|"FABACEAE"|"Hymenaea"|"courbaril"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"EVB 4617"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4618"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004618"|"77"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Desmodium tortuosum (Sw.) DC."|"FABACEAE"|"Desmodium"|"tortuosum"|""|"specie"|"(Sw.) DC."|"Angiospermas"|""|"Plantae"|""|"EVB 4618"
