"country","stateProvince","municipality","locality","latitude","longitude","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Campos do Jordão","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.6755167230222","-45.4930538240829","brazil","sao paulo","campos do jordao","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county"
"Brazil","São Paulo","Cruzeiro","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.5026160366813","-45.0310073659723","brazil","sao paulo","cruzeiro","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_cruzeiro","brazil_sao paulo_cruzeiro",-22.55138262,-45.00586734,"county"
"Brazil","São Paulo","Guaratinguetá","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.6916362544364","-45.3271994594456","brazil","sao paulo","guaratingueta","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_guaratingueta","brazil_sao paulo_guaratingueta",-22.786383,-45.206179,"county"
"Brazil","São Paulo","Lavrinhas","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.474228676285","-44.8936824890132","brazil","sao paulo","lavrinhas","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_lavrinhas","brazil_sao paulo_lavrinhas",-22.52014474,-44.8887858,"county"
"Brazil","São Paulo","Pindamonhangaba","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.7900218644864","-45.5167837745594","brazil","sao paulo","pindamonhangaba","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county"
"Brazil","São Paulo","Piquete","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.5734681736499","-45.1891839499382","brazil","sao paulo","piquete","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_piquete","brazil_sao paulo_piquete",-22.59001346,-45.17361677,"county"
"Brazil","São Paulo","Queluz","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.4557927403977","-44.7979779621095","brazil","sao paulo","queluz","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_queluz","brazil_sao paulo_queluz",-22.5039562,-44.78513434,"county"
"Brazil","São Paulo","São Bento do Sapucaí","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA","-22.6815396854865","-45.6868293369871","brazil","sao paulo","sao bento do sapucai","area de protecao ambiental serra da mantiqueira",NA,"locality","brazil_sao paulo_sao bento sapucai","brazil_sao paulo_sao bento sapucai",-22.68127521,-45.68640003,"county"
"Brazil","São Paulo","Cananéia","ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE","-24.9795930341115","-47.9781045209584","brazil","sao paulo","cananeia","area de protecao ambiental de cananeia-iguape-peruibe",NA,"locality","brazil_sao paulo_cananeia","brazil_sao paulo_cananeia",-25.024888,-47.952513,"county"
"Brazil","São Paulo","Iguape","ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE","-24.5109451751879","-47.3776668522878","brazil","sao paulo","iguape","area de protecao ambiental de cananeia-iguape-peruibe",NA,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county"
"Brazil","São Paulo","Ilha Comprida","ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE","-24.8879940766785","-47.7642167851513","brazil","sao paulo","ilha comprida","area de protecao ambiental de cananeia-iguape-peruibe",NA,"locality","brazil_sao paulo_ilha comprida","brazil_sao paulo_ilha comprida",-24.86188204,-47.71978317,"county"
"Brazil","São Paulo","Itariri","ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE","-24.2956086776977","-47.1309289459137","brazil","sao paulo","itariri","area de protecao ambiental de cananeia-iguape-peruibe",NA,"locality","brazil_sao paulo_itariri","brazil_sao paulo_itariri",-24.29272622,-47.12811396,"county"
