Nome_UC,Municipio,Localidade,Relação,Confiança
APA Parque e Fazenda do Carmo,São Paulo,Fazenda Nossa Senhora do Carmo,Igual,Ouro
APA Parque e Fazenda do Carmo,QUALQUER,Parque Ecológico APA do Carmo,Igual,Ouro
APA Parque e Fazenda do Carmo,São Paulo,Parque do Carmo,UC dentro da loc.,Prata
APA Parque e Fazenda do Carmo,QUALQUER,APA do Carmo,Igual,Ouro
APA Parque e Fazenda do Carmo,São Paulo,Itaquera,UC dentro da loc.,Bronze
APA Parque e Fazenda do Carmo,São Paulo,Gleba do Pêssego,Loc. dentro da UC ,Ouro
APA Barreiro Rico,Anhembi,Fazenda Barreiro Rico,Igual,Ouro
APA Barreiro Rico,Botucatu,Fazenda Barreiro Rico,Igual,Ouro
APA Barreiro Rico,Piracicaba,Fazenda Barreiro Rico,Igual,Ouro
APA Barreiro Rico,São Pedro,Fazenda Barreiro Rico,Igual,Ouro
APA Barreiro Rico,Anhembi,Fazenda Bacury,Igual,Ouro
ESTAÇÃO ECOLÓGICA DE BAURU,QUALQUER,Sebastião Aleixo da Silva,Igual,Ouro
ESTAÇÃO ECOLÓGICA DE BAURU,Bauru,Horto,Igual,Ouro
ESTAÇÃO ECOLÓGICA DE BAURU,QUALQUER,Horto Florestal de Bauru,Igual,Ouro
PE ilha do cardoso,QUALQUER,Ilha do Cardoso,Igual,Ouro
PE ilha do cardoso,Cananéia,Marujá,Loc. dentro da UC ,Ouro
PE Campos do Jordão,Campos do Jordão,Horto,Igual,Ouro
PE Campos do Jordão,Campos do Jordão,PECJ,Igual,Ouro
APA Campos do Jordão,Campos do Jordão,()|.*,Igual,Ouro
PE Campos do Jordão,Campos do Jordão,Fazenda da Guarda,Igual,Ouro
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,Jundiaí,Serra do Japi,Igual,Ouro
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,Cabreúva,Serra do Japi,Disjunto,Zero
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,QUALQUER,Serra do Japi,Intersecção,Prata
ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU,QUALQUER,Fazenda Campininha,UC dentro da loc.,Prata
PARQUE ESTADUAL DAS FONTES DO IPIRANGA,São Paulo,Jardim Botânico de São Paulo,Loc. dentro da UC ,Ouro
PARQUE ESTADUAL DAS FONTES DO IPIRANGA,São Paulo,Parque do Estado,Igual,Ouro
ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA,QUALQUER,parque estadual jacupiranga,Loc. dentro da UC ,Ouro
ESTAÇÃO ECOLÓGICA MARÍLIA,Marília,Estação Experimental,Igual,Ouro
ESTAÇÃO ECOLÓGICA MARÍLIA,QUALQUER,Estação Experimental de Marília,Igual,Ouro
