order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
42820,gbif_splink,remove,,,,,Brazil,São Paulo,Campinas,santa genebra forest reserve barao geraldo near campinas disturbed semideciduous forest ( 78 ) | santa genebra forest reserve barao geraldo near campinas disturbed semideciduous forest transect 3 ( 63 ) | santa genebra forest reserve barao geraldo near campinas disturbed semideciduous forest transect 5 ( 55 ) | santa genebra forest reserve barao geraldo near campinas disturbed semideciduous forest transect 2 ( 42 ) | santa genebra forest reserve barao geraldo near campinas disturbed semideciduous forest transect 4 ( 23 ) | santa genebra forest reserve barao geraldo near campinas ( 11 ),,brazil_sao paulo_santa genebra forest reserve_santa genebra forest reserve,brazil_sao paulo_campinas_arie mata santa genebra,-22.73484494,-46.65992257
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
43334,gbif_splink,remove,,,,,Brazil,São Paulo,Ilha Solteira ( 59 ) | Itararé ( 7 ) | Jaboticabal ( 6 ),fazenda santa izabel antiga fazenda lagoinha ( 28 ) | fazenda santa izabel (antiga fazenda lagoinha) ( 11 ) | fazenda santa izabel (antiga faz lagoinha) ( 4 ) | fazenda santa izabel (antiga fazenda lag ( 4 ) | fazenda santa izabel (ripasa) estrada para bom sucesso de itarare km 9 ( 4 ) | fazenda santa izabel (ripasa) estrada para bom sucesso de itarare 9 km ( 2 ),,brazil_sao paulo_fazenda santa izabel,,-20.43007943,-51.34003971
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
42979,splink,remove,,,,,Brazil,São Paulo,Mogi das Cruzes,mata ciliar cezar de souza ( 103 ) | mata ciliar c souza prox ao cafe sol solo umido sol ( 3 ) | mata ciliar c souza prox ao cafe sol ( 2 ) | mata ciliar c souza prox ao cafe sol solo umido proximo ao rio ambiente aberto ( 2 ) | distrito cesar de souza apa varzea do rio tiete proximo da ind cafe soluvel&nf;&nf;mata ciliar ( 1 ) | distrito cesar de souza prox da industria cafe s apa da varzea do rio tiete &nf;mata ciliar ( 1 ),,brazil_sao paulo_mogi cruzes_mata ciliar,,-23.5228,-46.1883
42890,gbif_splink,remove,,,,,Brazil,São Paulo,Piracicaba ( 5 ) | Mogi Guaçu ( 3 ) | Conchal ( 1 ) | fazenda campininha ( 1 ),fazenda campininha ( 40 ) | fazenda campininha 3 km nnw de padua sales ( 10 ) | fazenda campininha - unimep - horto mae ( 5 ) | fazenda campininha 30 - 32 km nnw de padua sales ( 5 ) | fazenda campininha 30-32 km nnw de padua sales ( 5 ) | fazenda campininha 7 km nnw de padua sales ( 5 ),,brazil_sao paulo_fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.26512775,-47.78112677
