"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"UNIDAM","Jundiaí","São Paulo",58
NA,"Unidade de Desenvolvimento Ambiental (UNIDAM)","Jundiaí","São Paulo",50
NA,"Unidade de Desenvolvimento Ambiental - UNIDAM","Jundiaí","São Paulo",42
NA,"Solo: Arenoso","Jundiaí","São Paulo",33
NA,"pleno sol","Jundiaí","São Paulo",21
NA,"em meio à braquiária","Jundiaí","São Paulo",17
NA,"Local: Pleno sol","Jundiaí","São Paulo",13
NA,"Local: Borda da trilha","Jundiaí","São Paulo",11
NA,"Unidade de Desenvolvimento Ambiental (UNIDAM), Local: Pleno sol. Solo: Arenoso, em meio à braquiária","Jundiaí","São Paulo",8
NA,"Parque da Cidade","Jundiaí","São Paulo",8
NA,"Instituto de Zootecnia","Nova Odessa","São Paulo",7
NA,"Crescendo sobre casca de mangueira","Porto Feliz","São Paulo",6
NA,"Condomínio Spring Valley. Crescendo sobre casca de mangueira","Porto Feliz","São Paulo",6
NA,"Local: Distante da trilha","Jundiaí","São Paulo",5
NA,"Unidade de Desenvolvimento Ambiental (UNIDAM), Local: distante da trilha, copa à pleno sol. Solo: Arenoso, em meio à braquiária","Jundiaí","São Paulo",4
NA,"Unidade de Desenvolvimento Ambiental - UNIDAM, Local: Borda da trilha, pleno sol. Solo: Pedregoso e arenoso","Jundiaí","São Paulo",4
NA,"Solo: Pedregoso e arenoso","Jundiaí","São Paulo",4
NA,"Local: Meio da trilha","Jundiaí","São Paulo",4
NA,"copa à pleno sol","Jundiaí","São Paulo",4
NA,"próximo ao km 10","Porto Feliz","São Paulo",3
NA,"meia sombra","Jundiaí","São Paulo",3
NA,"Local: Interior da mata","Jundiaí","São Paulo",3
NA,"Local: Em meio a braquiária","Jundiaí","São Paulo",3
NA,"a pleno sol","Jundiaí","São Paulo",3
NA,"Unidade de Desenvolvimento Ambiental - UNIDAM, Local: Borda da trilha, pleno sol. Solo: Arenoso e pedregoso","Jundiaí","São Paulo",2
NA,"Solo: Arenoso e pedregoso","Jundiaí","São Paulo",2
NA,"Serra do Japi","Jundiaí","São Paulo",2
NA,"Local: Borda da trilha","Campinas","São Paulo",2
NA,"Flora da Reserva Florestal da Boa Vista","São José dos Campos","São Paulo",151
NA,"Vale do Ribeirão do Braço","Lavrinhas","São Paulo",149
NA,"fazenda sao domingos, acesso pelo km 237 da rodovia dos tropeiros","Areias","São Paulo",81
NA,"estrada da fazenda boa vista","Cruzeiro","São Paulo",81
NA,"São Francisco Xavier","São José dos Campos","São Paulo",79
NA,"Parque Estadual da Serra do Mar","Paraibuna","São Paulo",60
NA,"12 km ao norte de lavrinhas","Lavrinhas","São Paulo",60
NA,"Área de Proteção Ambiental (APA) de São Francisco Xavier","São José dos Campos","São Paulo",50
NA,"Instituto de Botânica","São Paulo","São Paulo",48
NA,"Parque Estadual da Serra do Mar","Natividade da Serra","São Paulo",47
NA,"area de protecao ambiental","São José dos Campos","São Paulo",46
NA,"between km 169 and 170 of the highway SP-BR 101 (Rio-Santos)","São Sebastião","São Paulo",4
NA,"Before the entrance to Barra do Sahy beach, between km 169 and 170 of the highway SP-BR 101 (Rio-Santos)","São Sebastião","São Paulo",4
NA,"Before the entrance to Barra do Sahy beach","São Sebastião","São Paulo",4
