"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_monte alegre sul_iac","",1897,"sao paulo","monte alegre do sul","iac"
"brazil_sao paulo_nazare paulista_estrada em torno represa atibainha","",1652,"sao paulo","nazare paulista","estrada em torno da represa atibainha|estrada em torno da represa de atibainha|estrada em torno represa atibainha"
"brazil_sao paulo_iguape_estacao ecologica jureia","",1323,"sao paulo","iguape","estacao ecologica jureia|estacao ecologica de jureia|estacao ecologica da jureia"
"brazil_sao paulo_corumbatai_reserva cerrado unesp","",1317,"sao paulo","corumbatai","reserva de cerrado da unesp"
"brazil_sao paulo_santa rita passa quatro_arie","",1292,"sao paulo","santa rita do passa quatro","arie"
"brazil_sao paulo_sao paulo_parque estadual serra mar nucleo curucutu","",1210,"sao paulo","sao paulo","parque estadual serra mar nucleo curucutu|parque estadual serra mar nucleo de curucutu|parque estadual da serra do mar nucleo curucutu|parque estadual da serra do mar- nucleo curucutu|parque estadual da serra do mar-nucleo curucutu|parque estadual serra do mar nucleo curucutu|parque estadual serra mar nucleo do curucutu"
"brazil_sao paulo_ilha comprida","",1205,"sao paulo","cananeia|iguape","estrada de acesso a praia|estrada entre a balsa e a praia da ilha comprida|estrada entre balsa e a praia da ilha comprida|estrada entre a valsa e a praia da ilha comprida|estrada entre a balsa e praia da ilha comprida|estrada entre a balsa e a prais da ilha comprida|estrada entre a balsa e a praia de ilha comprida|estrada entre a baldsa e a praia da ilha comprida|estrada entr4e a balsa e a praia da ilha comprida|estrada entre a balsa e a praia da ilha compra|bay side of road crossing island|estrada entre a balsa a praia da ilha comprida|estrada entre a balsa e a praia da ilha compridam area de mata de restinga com transicao para dunas|estrada entrea balsa e a praia de ilha comprida|estrada entra a balsa e a praia da ilha comprida|sobre gramineas a beira da estrada|roadside|on edge of road between ferry and beach, roadside|na beira da estrada entre o ponto de chegada da balsa de cananeia e a praia|na beira da estrada entre o ponto da balsa de cananeia e a praia|along road from bay side of island to fishing village on ocean side|near end toward ocean of dirt road crossing island|ao longo da estrada para a praia|estrada entre a balsa e|estrada entre a balsa e a"
"brazil_sao paulo_analandia_serra cuscuzeiro","",1151,"sao paulo","analandia","serra do cuscuzeiro"
"brazil_sao paulo_cananeia_estrada entre a balsa e a praia ilha comprida","",1060,"sao paulo","cananeia","estrada entre a balsa e a praia da ilha comprida|estrada entre a balsa e a praia de ilha comprida"
"brazil_sao paulo_sao luiz paraitinga","",966,"sao paulo","sao luiz do paraitinga|sao luiz de paraitinga|sao luiz da paraitinga|sao paulo","nucleo sta virginia|parque estadual serra mar nucleo santa virginia|parque estadual serra mar nucleo de curucutu|nucleo santa virginia|estacao ecologica de santa virginia|pesm|pesm- nucleo santa virginia|trilha do ipiranga|trilha do pau de bala|floresta ombrofila densa montana|nucleo santa||inicio da estrada de terra que leva a br-383 a vargem grande|trilha do poco do pito|trilha da pirapitinga|sao luiz do paraitinga|parque nacional serra do mar nucleosanta virginia|parque nacional serra do mar nucleode santa virginia|proximo ao nucleo santa virginia do parque da serr|trilha do pirapitinga|sobre o barranco na margem da estrada|area particular|propriedade de joao"
"brazil_sao paulo_campos jordao_campos jordao","",964,"sao paulo","campos do jordao|campos de jordao|campos jordao","campos do jordao|campos de jordao|campos jordao"
"brazil_sao paulo_cananeia_ilha comprida","",901,"sao paulo","cananeia","ilha comprida|ilha de comprida"
"brazil_sao paulo_iporanga_parque estadual intervales","",828,"sao paulo","iporanga","parque estadual de intervales|parque estadual intervales"
"brazil_sao paulo_ibiuna_proximo ao distrito caucaia alto","",810,"sao paulo","ibiuna","proximo ao distrito de caucaia do alto"
"brazil_sao paulo_iguape_barra ribeira","",720,"sao paulo","iguape","barra da ribeira|barra do ribeira"
"brazil_NA_sao paulo","",635,"","sao paulo","sao paulo|fazenda barreiros fartura|matao|coroados|serra azul|fazenda st|fazenda santo antonio|parque estadual de caraguatatuba, the road ne from sp highway 99 at 66 km|lado direito da estrada|circa 2 km e of campos do jordao on road to horto florestal|campos do jordao|fazenda pedra vermelha|parque municipal da serra do japi|parque estadual serra mar nucleo curucutu|estrada marsilac-parque estadual de serra do mar|parque estadual da serra do mar-nucleo curucutu|fazenda intervales sudlich von capao bonito|forest reserve|mata atlantica primaria|fazenda intervales sudlich capao bonito|fazenda inter vales sudlich capao bonito|mata atlantica secundaria|paranapiacaba biological station|estrada velha, camino do mar"
"brazil_sao paulo_sao paulo_sao paulo","",611,"sao paulo","sao paulo","sao paulo"
"brazil_NA_NA_sao paulo","",590,"","sao paulo|pindamonhangaba|cananeia|botucatu|de cauaucia|iporanga","sao paulo"
"brazil_sao paulo_parque estado","",583,"sao paulo","parque do estado|parque de estado|parque estado","parque do estado, on olds maps ""parque de agua funda""|parque do estado, on olds maps """"parque de agua funda""""|parque de estado|parque do estado, on old maps ""parque de agua funda""|parque do estado|parque estado|parque do estado, reserva florestal das fontas do ipiranga"
"brazil_sao paulo_botucatu_18km north of botucatu","",570,"sao paulo","botucatu","18km north of botucatu"
