"source","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"ibge","brazil_NA_alta floresta oeste","brazil_rondonia_alta floresta oeste",-12.47107,-62.13705,"county"
"ibge","brazil_NA_ariquemes","brazil_rondonia_ariquemes",-9.951979579,-62.95733633,"county"
"ibge","brazil_NA_cabixi","brazil_rondonia_cabixi",-13.47485438,-60.63966155,"county"
"ibge","brazil_NA_cacoal","brazil_rondonia_cacoal",-11.30123991,-61.32464695,"county"
"ibge","brazil_NA_cerejeiras","brazil_rondonia_cerejeiras",-13.20362461,-61.26060427,"county"
"ibge","brazil_NA_colorado oeste","brazil_rondonia_colorado oeste",-13.15916895,-60.55010034,"county"
"ibge","brazil_NA_corumbiara","brazil_rondonia_corumbiara",-12.92659436,-61.09178785,"county"
"ibge","brazil_NA_costa marques","brazil_rondonia_costa marques",-12.36932287,-63.38197138,"county"
"ibge","brazil_NA_espigao oeste","brazil_rondonia_espigao oeste",-11.35129629,-60.78470467,"county"
"ibge","brazil_NA_guajara mirim","brazil_rondonia_guajara mirim",-11.3046128,-64.53418561,"county"
"ibge","brazil_NA_jaru","brazil_rondonia_jaru",-10.59250458,-62.58478876,"county"
"ibge","brazil_NA_ji parana","brazil_rondonia_ji parana",-10.46216151,-61.75712508,"county"
"ibge","brazil_NA_machadinho oeste","brazil_rondonia_machadinho oeste",-9.204091501,-62.01037965,"county"
"ibge","brazil_NA_nova brasilandia oeste","brazil_rondonia_nova brasilandia oeste",-11.56431137,-62.23305229,"county"
"ibge","brazil_NA_ouro preto oeste","brazil_rondonia_ouro preto oeste",-10.36659,-61.92239,"county"
"ibge","brazil_NA_pimenta bueno","brazil_rondonia_pimenta bueno",-11.89451773,-60.83034398,"county"
"ibge","brazil_NA_porto velho","brazil_rondonia_porto velho",-9.153370806,-64.30648105,"county"
"ibge","brazil_NA_rio crespo","brazil_rondonia_rio crespo",-9.645091703,-62.79034604,"county"
"ibge","brazil_NA_rolim moura","brazil_rondonia_rolim moura",-11.73251408,-61.77145289,"county"
"ibge","brazil_NA_santa luzia oeste","brazil_rondonia_santa luzia oeste",-12.02708161,-61.70086368,"county"
"ibge","brazil_NA_vilhena","brazil_rondonia_vilhena",-12.08801347,-60.25247464,"county"
"ibge","brazil_NA_sao miguel guapore","brazil_rondonia_sao miguel guapore",-11.88417286,-63.1211642,"county"
"ibge","brazil_NA_nova mamore","brazil_rondonia_nova mamore",-10.38275752,-64.62673959,"county"
"ibge","brazil_NA_alvorada oeste","brazil_rondonia_alvorada oeste",-11.31144834,-62.54484927,"county"
"ibge","brazil_NA_alto alegre parecis","brazil_rondonia_alto alegre parecis",-12.59490439,-61.88181365,"county"
"ibge","brazil_NA_novo horizonte oeste","brazil_rondonia_novo horizonte oeste",-11.68102627,-62.08320616,"county"
"ibge","brazil_NA_cacaulandia","brazil_rondonia_cacaulandia",-10.33164673,-62.98697672,"county"
"ibge","brazil_NA_campo novo rondonia","brazil_rondonia_campo novo rondonia",-10.48507044,-63.79949452,"county"
"ibge","brazil_NA_candeias jamari","brazil_rondonia_candeias jamari",-8.886975255,-63.32561069,"county"
"ibge","brazil_NA_castanheiras","brazil_rondonia_castanheiras",-11.47085776,-61.8799061,"county"
"ibge","brazil_NA_chupinguaia","brazil_rondonia_chupinguaia",-12.53735662,-60.89834214,"county"
"ibge","brazil_NA_cujubim","brazil_rondonia_cujubim",-9.170952698,-62.56508821,"county"
"ibge","brazil_NA_governador jorge teixeira","brazil_rondonia_governador jorge teixeira",-10.74802496,-63.1839641,"county"
"ibge","brazil_NA_itapua oeste","brazil_rondonia_itapua oeste",-9.170171001,-63.04502402,"county"
"ibge","brazil_NA_ministro andreazza","brazil_rondonia_ministro andreazza",-11.16032314,-61.5688988,"county"
"ibge","brazil_NA_mirante serra","brazil_rondonia_mirante serra",-11.0769422,-62.84825931,"county"
"ibge","brazil_NA_monte negro","brazil_rondonia_monte negro",-10.21077664,-63.37229149,"county"
"ibge","brazil_NA_parecis","brazil_rondonia_parecis",-12.26231878,-61.41514886,"county"
"ibge","brazil_NA_pimenteiras oeste","brazil_rondonia_pimenteiras oeste",-13.01273,-61.73762,"county"
"ibge","brazil_NA_primavera rondonia","brazil_rondonia_primavera rondonia",-11.87854268,-61.31522417,"county"
"ibge","brazil_NA_sao felipe oeste","brazil_rondonia_sao felipe oeste",-11.76694539,-62.44237399,"county"
"ibge","brazil_NA_sao francisco guapore","brazil_rondonia_sao francisco guapore",-12.47295039,-62.27663443,"county"
"ibge","brazil_NA_seringueiras","brazil_rondonia_seringueiras",-11.88417286,-63.1211642,"county"
"ibge","brazil_NA_teixeiropolis","brazil_rondonia_teixeiropolis",-10.94350037,-62.2799137,"county"
"ibge","brazil_NA_theobroma","brazil_rondonia_theobroma",-10.12176396,-62.34235543,"county"
"ibge","brazil_NA_urupa","brazil_rondonia_urupa",-11.10392945,-62.4239815,"county"
"ibge","brazil_NA_vale anari","brazil_rondonia_vale anari",-9.732576757,-61.93927629,"county"
"ibge","brazil_NA_vale paraiso","brazil_rondonia_vale paraiso",-10.61034263,-62.17235881,"county"
"ibge","brazil_NA_acrelandia","brazil_acre_acrelandia",-9.928786085,-66.93057363,"county"
"ibge","brazil_NA_assis brasil","brazil_acre_assis brasil",-10.87442377,-70.16259514,"county"
"ibge","brazil_NA_brasileia","brazil_acre_brasileia",-10.76825376,-69.15011225,"county"
"ibge","brazil_NA_bujari","brazil_acre_bujari",-9.586090579,-68.20649291,"county"
"ibge","brazil_NA_capixaba","brazil_acre_capixaba",-10.47664105,-67.83720572,"county"
"ibge","brazil_NA_epitaciolandia","brazil_acre_epitaciolandia",-10.89937087,-68.41142128,"county"
"ibge","brazil_NA_feijo","brazil_acre_feijo",-9.072905604,-70.89498145,"county"
"ibge","brazil_NA_jordao","brazil_acre_jordao",-9.242727783,-71.91831297,"county"
"ibge","brazil_NA_mancio lima","brazil_acre_mancio lima",-7.505874057,-73.46213842,"county"
"ibge","brazil_NA_manoel urbano","brazil_acre_manoel urbano",-9.467183573,-69.91874731,"county"
"ibge","brazil_NA_marechal thaumaturgo","brazil_acre_marechal thaumaturgo",-9.107902956,-72.5484941,"county"
"ibge","brazil_NA_placido castro","brazil_acre_placido castro",-10.24724489,-67.31728957,"county"
"ibge","brazil_NA_porto walter","brazil_acre_porto walter",-8.516460948,-72.71462652,"county"
"ibge","brazil_NA_rodrigues alves","brazil_acre_rodrigues alves",-7.82281308,-73.24339787,"county"
"ibge","brazil_NA_santa rosa purus","brazil_acre_santa rosa purus",-9.422991694,-70.4074451,"county"
"ibge","brazil_NA_senador guiomard","brazil_acre_senador guiomard",-10.01111904,-67.40747587,"county"
"ibge","brazil_NA_sena madureira","brazil_acre_sena madureira",-9.854576543,-69.43882628,"county"
"ibge","brazil_NA_tarauaca","brazil_acre_tarauaca",-8.314280424,-71.54348817,"county"
"ibge","brazil_NA_xapuri","brazil_acre_xapuri",-10.54281834,-68.5729894,"county"
"ibge","brazil_NA_porto acre","brazil_acre_porto acre",-9.620392259,-67.70052831,"county"
"ibge","brazil_NA_alvaraes","brazil_amazonas_alvaraes",-3.701128363,-65.33080397,"county"
"ibge","brazil_NA_amatura","brazil_amazonas_amatura",-3.418368581,-68.28779424,"county"
"ibge","brazil_NA_anama","brazil_amazonas_anama",-3.502606263,-61.71674185,"county"
"ibge","brazil_NA_anori","brazil_amazonas_anori",-4.186667406,-62.07309407,"county"
"ibge","brazil_NA_apui","brazil_amazonas_apui",-7.75972024,-59.43139823,"county"
"ibge","brazil_NA_atalaia norte","brazil_amazonas_atalaia norte",-5.710436838,-71.74248909,"county"
"ibge","brazil_NA_autazes","brazil_amazonas_autazes",-3.788981689,-59.52880292,"county"
"ibge","brazil_NA_barcelos","brazil_amazonas_barcelos",-0.465216609,-63.43469746,"county"
"ibge","brazil_NA_barreirinha","brazil_amazonas_barreirinha",-3.129109554,-57.17243568,"county"
"ibge","brazil_NA_benjamin constant","brazil_amazonas_benjamin constant",-5.431016683,-70.27981915,"county"
"ibge","brazil_NA_beruri","brazil_amazonas_beruri",-4.603478122,-61.78745129,"county"
"ibge","brazil_NA_boa vista ramos","brazil_amazonas_boa vista ramos",-2.986854,-57.563472,"county"
"ibge","brazil_NA_boca acre","brazil_amazonas_boca acre",-8.760441724,-68.08975685,"county"
"ibge","brazil_NA_borba","brazil_amazonas_borba",-4.956915355,-59.53441571,"county"
"ibge","brazil_NA_caapiranga","brazil_amazonas_caapiranga",-3.081994093,-61.87758613,"county"
"ibge","brazil_NA_canutama","brazil_amazonas_canutama",-7.40327598,-64.09662553,"county"
"ibge","brazil_NA_carauari","brazil_amazonas_carauari",-5.118801269,-67.33761862,"county"
"ibge","brazil_NA_careiro","brazil_amazonas_careiro",-3.77063578,-60.18309342,"county"
"ibge","brazil_NA_careiro varzea","brazil_amazonas_careiro varzea",-3.286234159,-59.59952002,"county"
"ibge","brazil_NA_coari","brazil_amazonas_coari",-4.437225836,-64.12471085,"county"
"ibge","brazil_NA_codajas","brazil_amazonas_codajas",-3.28904067,-62.97277007,"county"
"ibge","brazil_NA_eirunepe","brazil_amazonas_eirunepe",-7.063653186,-70.2792599,"county"
"ibge","brazil_NA_envira","brazil_amazonas_envira",-7.766315931,-70.20478827,"county"
"ibge","brazil_NA_fonte boa","brazil_amazonas_fonte boa",-2.492245115,-66.35861849,"county"
"ibge","brazil_NA_guajara","brazil_amazonas_guajara",-7.271893117,-72.83217012,"county"
"ibge","brazil_NA_ipixuna","brazil_amazonas_ipixuna",-7.242718105,-71.45848949,"county"
"ibge","brazil_NA_iranduba","brazil_amazonas_iranduba",-3.095160768,-60.48070739,"county"
"ibge","brazil_NA_itacoatiara","brazil_amazonas_itacoatiara",-3.174668894,-58.77722631,"county"
"ibge","brazil_NA_itamarati","brazil_amazonas_itamarati",-6.682868821,-68.1144199,"county"
"ibge","brazil_NA_jurua","brazil_amazonas_jurua",-3.524632479,-66.30707191,"county"
"ibge","brazil_NA_jutai","brazil_amazonas_jutai",-4.713082043,-68.40430631,"county"
"ibge","brazil_NA_labrea","brazil_amazonas_labrea",-8.375705419,-65.81228323,"county"
"ibge","brazil_NA_manacapuru","brazil_amazonas_manacapuru",-3.291577018,-60.95829918,"county"
"ibge","brazil_NA_manaquiri","brazil_amazonas_manaquiri",-3.779396087,-60.69735401,"county"
"ibge","brazil_NA_manaus","brazil_amazonas_manaus",-2.625919383,-60.25962801,"county"
"ibge","brazil_NA_manicore","brazil_amazonas_manicore",-6.459809609,-61.44652275,"county"
"ibge","brazil_NA_maraa","brazil_amazonas_maraa",-2.428444661,-65.03827635,"county"
"ibge","brazil_NA_maues","brazil_amazonas_maues",-4.984584196,-58.06099983,"county"
"ibge","brazil_NA_nhamunda","brazil_amazonas_nhamunda",-1.680553681,-57.65628741,"county"
"ibge","brazil_NA_nova olinda norte","brazil_amazonas_nova olinda norte",-3.988338881,-58.60183903,"county"
"ibge","brazil_NA_novo airao","brazil_amazonas_novo airao",-2.047048619,-61.70191653,"county"
"ibge","brazil_NA_novo aripuana","brazil_amazonas_novo aripuana",-6.825017058,-60.47717494,"county"
"ibge","brazil_NA_parintins","brazil_amazonas_parintins",-2.68835772,-56.85395054,"county"
"ibge","brazil_NA_pauini","brazil_amazonas_pauini",-7.783080801,-68.24931239,"county"
"ibge","brazil_NA_presidente figueiredo","brazil_amazonas_presidente figueiredo",-1.372568079,-59.98879265,"county"
"ibge","brazil_NA_rio preto eva","brazil_amazonas_rio preto eva",-2.529910626,-59.63824079,"county"
"ibge","brazil_NA_santa isabel rio negro","brazil_amazonas_santa isabel rio negro",-0.318572311,-65.52223044,"county"
"ibge","brazil_NA_santo antonio ica","brazil_amazonas_santo antonio ica",-3.050662632,-69.08380594,"county"
"ibge","brazil_NA_sao gabriel cachoeira","brazil_amazonas_sao gabriel cachoeira",0.375435011,-68.0015387,"county"
"ibge","brazil_NA_sao paulo olivenca","brazil_amazonas_sao paulo olivenca",-4.497851747,-69.45122456,"county"
"ibge","brazil_NA_sao sebastiao uatuma","brazil_amazonas_sao sebastiao uatuma",-2.535505,-57.872599,"county"
"ibge","brazil_NA_silves","brazil_amazonas_silves",-2.822149137,-58.5361563,"county"
"ibge","brazil_NA_tapaua","brazil_amazonas_tapaua",-6.104516926,-64.89416304,"county"
"ibge","brazil_NA_tefe","brazil_amazonas_tefe",-4.468380629,-65.52935009,"county"
