"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"253","Brazil","São Paulo","Águas da Prata","PE ÁGUAS DA PRATA","brazil_sao paulo_aguas prata_pe aguas prata","brazil_sao paulo_aguas prata_pe aguas prata","-21.9306459428606","-46.7139418087729","locality","cnuc_ibge"
"794","Brazil","São Paulo","Águas da Prata","PE ÁGUAS DA PRATA","brazil_sao paulo_aguas prata_parque estadual aguas prata","brazil_sao paulo_aguas prata_pe aguas prata","-21.9306459428606","-46.7139418087729","locality","cnuc_ibge"
"314","Brazil","São Paulo","Águas de Santa Bárbara","EEC DE SANTA BÁRBARA","brazil_sao paulo_aguas santa barbara_eec santa barbara","brazil_sao paulo_aguas santa barbara_eec santa barbara","-22.8107767496473","-49.2233609524356","locality","cnuc_ibge"
"855","Brazil","São Paulo","Águas de Santa Bárbara","EEC DE SANTA BÁRBARA","brazil_sao paulo_aguas santa barbara_estacao ecologica santa barbara","brazil_sao paulo_aguas santa barbara_eec santa barbara","-22.8107767496473","-49.2233609524356","locality","cnuc_ibge"
"431","Brazil","São Paulo","Agudos","APA RIO BATALHA","brazil_sao paulo_agudos_apa rio batalha","brazil_sao paulo_agudos_apa rio batalha","-22.4545440617077","-49.0520309272009","locality","cnuc_ibge"
"972","Brazil","São Paulo","Agudos","APA RIO BATALHA","brazil_sao paulo_agudos_area protecao ambiental rio batalha","brazil_sao paulo_agudos_apa rio batalha","-22.4545440617077","-49.0520309272009","locality","cnuc_ibge"
"536","Brazil","São Paulo","Agudos","ARIE LEOPOLDO MAGNO COUTINHO","brazil_sao paulo_agudos_arie leopoldo magno coutinho","brazil_sao paulo_agudos_arie leopoldo magno coutinho","-22.3699911523338","-48.9687464803468","locality","cnuc_ibge"
"1077","Brazil","São Paulo","Agudos","ARIE LEOPOLDO MAGNO COUTINHO","brazil_sao paulo_agudos_area relevante interesse ecologico leopoldo magno coutinho","brazil_sao paulo_agudos_arie leopoldo magno coutinho","-22.3699911523338","-48.9687464803468","locality","cnuc_ibge"
"387","Brazil","São Paulo","Alumínio","APA ITUPARARANGA","brazil_sao paulo_aluminio_apa itupararanga","brazil_sao paulo_aluminio_apa itupararanga","-23.5790316446835","-47.2899946036653","locality","cnuc_ibge"
"928","Brazil","São Paulo","Alumínio","APA ITUPARARANGA","brazil_sao paulo_aluminio_area protecao ambiental itupararanga","brazil_sao paulo_aluminio_apa itupararanga","-23.5790316446835","-47.2899946036653","locality","cnuc_ibge"
"260","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_eec caetetus","brazil_sao paulo_alvinlandia_eec caetetus","-22.4079561415617","-49.7159685404861","locality","cnuc_ibge"
"801","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_estacao ecologica caetetus","brazil_sao paulo_alvinlandia_eec caetetus","-22.4079561415617","-49.7159685404861","locality","cnuc_ibge"
"408","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","-22.7152823168081","-46.7997269886414","locality","cnuc_ibge"
"949","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_area protecao ambiental piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","-22.7152823168081","-46.7997269886414","locality","cnuc_ibge"
"169","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_rppn duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras","-22.7567666455722","-46.8083495879024","locality","cnuc_ibge"
"710","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_reserva particular patrimonio natural duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras","-22.7567666455722","-46.8083495879024","locality","cnuc_ibge"
"350","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_apa cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai","-22.1301497446032","-47.7065419259573","locality","cnuc_ibge"
"891","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_area protecao ambiental cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai","-22.1301497446032","-47.7065419259573","locality","cnuc_ibge"
"403","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","-22.1460102988155","-47.6727863877656","locality","cnuc_ibge"
"944","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_area protecao ambiental piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","-22.1460102988155","-47.6727863877656","locality","cnuc_ibge"
"363","Brazil","São Paulo","Angatuba","APA CUESTA GUARANI","brazil_sao paulo_angatuba_apa cuesta guarani","brazil_sao paulo_angatuba_apa cuesta guarani","-23.2771458946214","-48.4278593074893","locality","cnuc_ibge"
