"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Rondônia","Alta Floresta D'oeste","brazil","rondonia","alta floresta d'oeste","municipality","brazil_NA_alta floresta oeste","brazil_rondonia_alta floresta oeste",-12.47107,-62.13705,"county"
"Brazil","Rondônia","Ariquemes","brazil","rondonia","ariquemes","municipality","brazil_NA_ariquemes","brazil_rondonia_ariquemes",-9.951979579,-62.95733633,"county"
"Brazil","Rondônia","Cabixi","brazil","rondonia","cabixi","municipality","brazil_NA_cabixi","brazil_rondonia_cabixi",-13.47485438,-60.63966155,"county"
"Brazil","Rondônia","Cacoal","brazil","rondonia","cacoal","municipality","brazil_NA_cacoal","brazil_rondonia_cacoal",-11.30123991,-61.32464695,"county"
"Brazil","Rondônia","Cerejeiras","brazil","rondonia","cerejeiras","municipality","brazil_NA_cerejeiras","brazil_rondonia_cerejeiras",-13.20362461,-61.26060427,"county"
"Brazil","Rondônia","Colorado do Oeste","brazil","rondonia","colorado do oeste","municipality","brazil_NA_colorado oeste","brazil_rondonia_colorado oeste",-13.15916895,-60.55010034,"county"
"Brazil","Rondônia","Corumbiara","brazil","rondonia","corumbiara","municipality","brazil_NA_corumbiara","brazil_rondonia_corumbiara",-12.92659436,-61.09178785,"county"
"Brazil","Rondônia","Costa Marques","brazil","rondonia","costa marques","municipality","brazil_NA_costa marques","brazil_rondonia_costa marques",-12.36932287,-63.38197138,"county"
"Brazil","Rondônia","Espigão D'oeste","brazil","rondonia","espigao d'oeste","municipality","brazil_NA_espigao oeste","brazil_rondonia_espigao oeste",-11.35129629,-60.78470467,"county"
"Brazil","Rondônia","Guajará-Mirim","brazil","rondonia","guajara-mirim","municipality","brazil_NA_guajara mirim","brazil_rondonia_guajara mirim",-11.3046128,-64.53418561,"county"
"Brazil","Rondônia","Jaru","brazil","rondonia","jaru","municipality","brazil_NA_jaru","brazil_rondonia_jaru",-10.59250458,-62.58478876,"county"
"Brazil","Rondônia","Ji-Paraná","brazil","rondonia","ji-parana","municipality","brazil_NA_ji parana","brazil_rondonia_ji parana",-10.46216151,-61.75712508,"county"
"Brazil","Rondônia","Machadinho D'oeste","brazil","rondonia","machadinho d'oeste","municipality","brazil_NA_machadinho oeste","brazil_rondonia_machadinho oeste",-9.204091501,-62.01037965,"county"
"Brazil","Rondônia","Nova Brasilândia D'oeste","brazil","rondonia","nova brasilandia d'oeste","municipality","brazil_NA_nova brasilandia oeste","brazil_rondonia_nova brasilandia oeste",-11.56431137,-62.23305229,"county"
