"Freq","alreadyInGazet","ordemGazet","statusInGazet","alreadyInGazet..status","add","X","source","status","X.1","X.2","X.3","X.4","country","stateProvince","municipality","locality","X.5","loc","loc.correct","meanLatitude","meanLongitude"
1183,FALSE,,,,,,"gbif_jabot_reflora_splink",,,,,,"Brazil","São Paulo","Cunha","parque estadual da serra do mar nucleo cunha ( 327 ) | parque estadual da serra do mar nucleo cunha trilha do rio bonito ( 73 ) | parque estadual da serra do mar nucleo cunha trilha das cachoeiras ( 69 ) | parque estadual da serra do mar nucleo cunha; trilha das cachoeiras ( 49 ) | parque estadual da serra do mar nucleo cunha; trilha do ribeirao bonito ( 45 ) | parque estadual da serra do mar nucleo cunha/indaia trilha do rio bonito ( 37 )",,"brazil_sao paulo_cunha_parque estadual serra mar nucleo cunha","",-23.2129662266287,-45.0223559198452
690,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Caraguatatuba","parque estadual da serra do mar nucleo caraguatatuba trilha dos tropeiros ( 100 ) | parque estadual da serra do mar nucleo caraguatatuba trilha da mococa ( 65 ) | parque estadual da serra do mar nucleo caraguatatuba trilha do jequitiba ( 56 ) | parque estadual da serra do mar nucleo caraguatatuba trilha dos macacos ( 53 ) | parque estadual da serra do mar nucleo caraguatatuba trilha do pocao ( 46 ) | parque estadual da serra do mar nucleo caraguatatuba trilha da captacao ( 45 )",,"brazil_sao paulo_caraguatatuba_parque estadual serra mar nucleo caraguatatuba","",-23.6178004859155,-45.4164960774648
671,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Santa Rita do Passa Quatro","arie - cerrado pe-de-gigante area demarcada ( 275 ) | arie - cerrado pe-de-gigante ( 115 ) | arie - cerrado pe de gigante area demarcada ( 73 ) | arie - cerrado pe de gigante ( 41 ) | arie - cerrado pe-de-gigante margem em direcao a via anhanguera ( 33 ) | arie - cerrado pe de gigante margem em direcao a via anhanguera ( 22 )",,"brazil_sao paulo_santa rita passa quatro_arie","",-21.6472576984127,-47.5696255174603
608,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","São Paulo","parque estadual das fontes do ipiranga reserva biologica ( 462 ) | parque estadual das fontes do ipiranga reserva biologica mata ( 7 ) | parque estadual das fontes do ipiranga reserva biologica instituto astronomico e geofisico coleta feita no lago limitrofe entre as areas 11 e 17 ( 6 ) | parque estadual das fontes do ipiranga reserva biologica mata da vila facchini ( 5 ) | parque estadual das fontes do ipiranga reserva biologica mata do instituto geologico ( 5 ) | parque estadual das fontes do ipiranga reserva biologica parque estadual das fontes do ipiranga ( 5 )",,"brazil_sao paulo_sao paulo_parque estadual fontes ipiranga, reserva biologica","brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo)",-23.5403956842105,-46.630322
566,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Itanhaém","parque estadual da serra do mar nucleo curucutu ( 180 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana e montana no entorno do vale dos rios mambu e dos macacos ( 91 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana no entorno do vale do rio mambu ( 51 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana e montana no entorno do vale dos rios mambu e dos macacos 24o02'284""s; 46o49'279""w 30-180msm ( 36 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana no entorno do vale do rio mambu 24o02'517""s; 46o49'057""w 30-100msm ( 21 ) | parque estadual da serra do mar nucleo curucutu trilha do mambu ( 20 )",,"brazil_sao paulo_itanhaem_parque estadual serra mar nucleo curucutu","",-24.0746805767796,-46.8110135845285
496,FALSE,,,,,,"gbif_reflora",,,,,,"Brazil","São Paulo","iporanga/apiai","parque estadual turistico do alto ribeira (petar) nucleo santana floresta ombrofila densa ( 174 ) | parque estadual turistico do alto ribeira (petar) nucleo santana ( 56 ) | parque estadual turistico do alto ribeira (petar) nucleo ouro grosso floresta ombrofila densa ( 49 ) | parque estadual turistico do alto ribeira (petar) nucleo caboclos - floresta ombrofila densa ( 40 ) | parque estadual turistico do alto ribeira (petar) ( 38 ) | parque estadual turistico do alto ribeira (petar) nucleo casa de pedra floresta ombrofila densa ( 25 )",,"brazil_sao paulo_iporanga/apiai_parque estadual turistico alto ribeira","",,
493,FALSE,,,,,,"gbif_jabot",,,,,,"Brazil","São Paulo","Cubatão ( 241 ) | São Bernardo do Campo ( 100 ) | Praia Grande ( 97 ) | Santos ( 33 ) | São Vicente ( 22 )","nucleo itutinga-piloes parque estadual da serra do mar ( 203 ) | nucleo itutinga-piloes mata proxima a estrada de manutencao parque estadual da serra do mar ( 77 ) | nucleo itutinga-piloes trilha da ferradura parque estadual da serra do mar ( 76 ) | nucleo itutinga-piloes trilha escondida proximo a vila de paranapiacaba vale do rio quilombo parque estadual da serra do mar ( 33 ) | nucleo itutinga-piloes caminhos do mar calcada do lorena setor a parque estadual da serra do mar ( 30 ) | nucleo itutinga-piloes mata entre trem e sitio da maninha parque estadual da serra do mar ( 22 )",,"brazil_sao paulo_nucleo itutinga piloes","",-23.8942928711864,-46.4952992610169
474,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Ribeirão Preto ( 472 )","estacao ecologica de ribeirao preto proximo a rodovia ( 39 ) | estacao ecologica de ribeirao preto estrada que leva a captacao de agua ( 26 ) | estacao ecologica de ribeirao preto estrada que separa a eerp da app ( 26 ) | estacao ecologica de ribeirao preto estrada atras do predio da administracao da mata ( 24 ) | estacao ecologica de ribeirao preto estrada que separa a estacao ecologica da app ( 21 ) | estacao ecologica de ribeirao preto estrada que divide a eerp e a app ( 20 )",,"brazil_sao paulo_estacao ecologica ribeirao preto","",-21.2154463203024,-47.8446683937365
471,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Ubatuba","fazenda capricornio parcela g (parque estadual da serra do mar nucleo picinguaba) ( 222 ) | fazenda capricornio parcela i (parque estadual da serra do mar nucleo picinguaba) ( 158 ) | fazenda capricornio (parque estadual da serra do mar nucleo picinguaba) ( 13 ) | fazenda capricornio parcela f (parque estadual da serra do mar nucleo picinguaba) ( 7 ) | fazenda capricornio casa da farinha (parque estadual da serra do mar nucleo picinguaba) ( 5 ) | fazenda capricornio parcela e (parque estadual da serra do mar nucleo picinguaba) ( 5 )",,"brazil_sao paulo_ubatuba_fazenda capricornio, parque estadual serra mar nucleo picinguaba","brazil_sao paulo_ubatuba_fazenda capricornio",-23.3729656430206,-45.0739232654462
470,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São Paulo","reserva biologica parque estadual das fontes do ipiranga ( 318 ) | sao paulo reserva biologica parque estadual das fontes do ipiranga ( 40 ) | reserva biologica parque estadual das fontes do ipiranga parque estadual das fontes do ipiranga ( 24 ) | sao paulo reserva biologica parque estadual das fontes do ipiranga instituto astronomico e geofisico da usp ( 9 ) | reserva biologica parque estadual das fontes do ipiranga instituto de botanica ( 6 ) | reserva biologica parque estadual das fontes do ipiranga instituto astronomico e geofisico da usp ( 5 )",,"brazil_sao paulo_sao paulo_reserva biologica, parque estadual fontes ipiranga","",-23.5752453787879,-46.6287539015152
370,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Apiaí","parque estadual turistico do alto ribeira - nucleo caboclos ( 93 ) | pe turistico alto ribeira (petar) ( 26 ) | parque estadual turistico do alto ribeira nucleo caboclos km 24 ( 25 ) | petar (parque estadual turistico do alto ribeira) base areado ( 24 ) | petar - parque estadual turistico do alto ribeira nucleo caboclos km 24 ( 19 ) | parque estadual turistico do alto ribeira (petar) nucleo caboclos trilha da pescaria ( 18 )",,"brazil_sao paulo_apiai_parque estadual turistico alto ribeira","",-24.4232498448276,-48.6028728218391
366,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Santo André","parque natural municipal nascentes de paranapiacaba trilha da comunidade ( 125 ) | parque natural municipal nascentes do paranapiacaba ( 41 ) | parque natural municipal nascentes de paranapiacaba trilha das hortensias ( 26 ) | parque natural municipal nascentes de paranapiacaba trilha da pontinha ( 21 ) | parque natural municipal nascentes de paranapiacaba agua fria ( 12 ) | parque natural municipal nascentes de paranapiacaba trilha dos gravatas ( 11 )",,"brazil_sao paulo_santo andre_parque natural municipal nascentes paranapiacaba","",-23.7604942492492,-46.3126193093093
330,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São Luís do Paraitinga","parque estadual da serra do mar nucleo de santa virginia trilha para a nascente do rio itamambuca ( 45 ) | parque estadual da serra do mar nucleo santa virginia trilha da pirapitinga floresta ombrofila densa montana ( 42 ) | parque estadual da serra do mar nucleo santa virginia - trilha pirapitinga ( 39 ) | parque estadual da serra do mar nucleo santa virginia ( 38 ) | parque estadual da serra do mar nucleo de santa virginia base de vargem grande trilha para a cachoeira da boneca ribeirao grande ( 25 ) | parque estadual da serra do mar nucleo santa virginia - trilha poco do pito ( 20 )",,"brazil_sao paulo_sao luiz paraitinga_parque estadual serra mar nucleo santa virginia","",-23.3320805283019,-45.1245868301887
312,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Piquete","pico dos marins - apa serra da mantiqueira trilha para o 1º mirante ( 63 ) | pico dos marins - apa serra da mantiqueira trilha de acesso ao cume do pico dos marins entre os municipios de piquete e marmelopolis (mg) campos de altitude ( 37 ) | pico dos marins - apa serra da mantiqueira morro do careca ( 18 ) | pico dos marins cume do macico principal ( 16 ) | pico dos marins ( 15 ) | pico dos marins - apa serra da mantiqueira trilha de acesso ao morro do careca ( 13 )",,"brazil_sao paulo_piquete_pico marins","",-22.5308109803368,-45.1466585995302
300,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Eldorado ( 138 ) | Guapiara ( 44 ) | Iporanga ( 36 ) | Capão Bonito ( 2 ) | parque estadual intervales ( 2 ) | São Paulo ( 2 )","parque estadual intervales trilha da bocaina em direcao a gruta da maozinha e do minotaurovegetacao secundaria de floresta ombrofila densa montana com trechos mais preservados sobre rochas carsticas (calcareas) ( 30 ) | parque estadual intervales ( 28 ) | parque estadual intervales nucleo barra grande trilha da cachoeira das pedrinhas estrada de sao pedro rio do carmo ( 24 ) | parque estadual intervales nucleo barra grande trilha da cachoeira das pedrinhas estrada de sao pedro rio carmo ( 20 ) | parque estadual intervales - trilha cachoeira das pedrinhas floresta ombrofila densa montana com intensa exploracao seletiva (palmito e madeira) estrada sao pedro ( 18 ) | parque estadual intervales - estrada municipal km 25 s/n zona rural ribeirao grande - sp 18315-000 brasil ( 14 )",,"brazil_sao paulo_parque estadual intervales","",-24.3148975365854,-48.3848804146341
296,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São Luís do Paraitinga","parque estadual da serra do mar nucleo santa virginia ( 59 ) | parque estadual serra do mar nucleo santa virginia ( 47 ) | parque estadual da serra do mar nucleo santa virginia trilha da pirapitinga ( 25 ) | parque estadual da serra do mar nucleo santa virginia microbacia do corrego casa de pedra ( 16 ) | parque estadual da serra do mar- nucleo santa virginia ( 10 ) | parque estadual da serra do mar nucleo santa virginia trilha do poco do pito ( 9 )",,"brazil_sao paulo_sao luis paraitinga_parque estadual serra mar nucleo santa virginia","",-23.2945351637168,-45.2087552168142
274,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Diadema ( 1 ) | ipiranga ( 1 )","parque estadual das fontes do ipiranga – pefi sao paulo sp br ( 76 ) | parque estadual das fontes do ipiranga ( 73 ) | parque estadual das fontes do ipiranga (quadra 8) sao paulo ( 20 ) | parque estadual das fontes do ipiranga jardim botanico ( 17 ) | parque estadual das fontes do ipiranga instituto de botanica jardim botanico ( 9 ) | parque estadual das fontes do ipiranga (pefi) ( 7 )",,"brazil_sao paulo_parque estadual fontes ipiranga","",,
270,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","","parque estadual das fontes do ipiranga – pefi sao paulo sp br ( 76 ) | parque estadual das fontes do ipiranga ( 73 ) | parque estadual das fontes do ipiranga (quadra 8) sao paulo ( 20 ) | parque estadual das fontes do ipiranga jardim botanico ( 17 ) | parque estadual das fontes do ipiranga instituto de botanica jardim botanico ( 9 ) | parque estadual das fontes do ipiranga (pefi) ( 7 )",,"brazil_sao paulo_parque estadual fontes ipiranga_parque estadual fontes ipiranga","",,
261,FALSE,,,,,,"gbif_jabot_splink",,,,,,"Brazil","São Paulo","Eldorado","parque estadual caverna do diabo ( 187 ) | parque estadual caverna do diabo trilha do bugio ( 28 ) | parque estadual caverna do diabo trilha do araca ( 26 ) | parque estadual caverna do diabo trilha da caverna ( 3 ) | parque estadual caverna do diabo trilha para o mirante do governador ( 3 ) | parque estadual caverna do diabo - trilha da caverna ( 2 )",,"brazil_sao paulo_eldorado_parque estadual caverna diabo","",-24.6345336129032,-48.3931156129032
