"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE",136,48,88,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE",6,6,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",22,0,22,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA",236,236,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS",1,1,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZONA DE VIDA SILVESTRE APA DA ILHA COMPRIDA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZVS – APA ILHA COMPRIDA",0,0,0,0
"ESTAÇÃO ECOLÓGICA ANGATUBA",79,79,0,0
"ESTAÇÃO ECOLÓGICA ARARAQUARA",0,0,0,0
"ESTAÇÃO ECOLÓGICA ASSIS",54,54,0,0
"ESTAÇÃO ECOLÓGICA AVARÉ",28,28,0,0
"ESTAÇÃO ECOLÓGICA BANANAL",12,12,0,0
"ESTAÇÃO ECOLÓGICA BARREIRO RICO",0,0,0,0
"ESTAÇÃO ECOLÓGICA BAURU",16,16,0,0
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA",0,0,0,0
"ESTAÇÃO ECOLÓGICA CAETETUS",115,115,0,0
"ESTAÇÃO ECOLÓGICA CHAÚAS",6,6,0,0
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS",0,0,0,0
"ESTAÇÃO ECOLÓGICA IBICATU",34,34,0,0
"ESTAÇÃO ECOLÓGICA ITABERÁ",40,40,0,0
"ESTAÇÃO ECOLÓGICA ITAPETI",7,7,0,0
"ESTAÇÃO ECOLÓGICA ITAPEVA",159,159,0,0
"ESTAÇÃO ECOLÓGICA ITIRAPINA",106,106,0,0
"ESTAÇÃO ECOLÓGICA JATAÍ",151,151,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS",304,302,2,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO GRAJAUNA",0,0,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO PEREQUÊ",0,0,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO RIO VERDE",0,0,0,0
"ESTAÇÃO ECOLÓGICA MARÍLIA",19,19,0,0
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ",0,0,0,0
"ESTAÇÃO ECOLÓGICA MICO-LEÃO-PRETO",0,0,0,0
"ESTAÇÃO ECOLÓGICA MOGI-GUAÇU",1415,45,1370,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ",0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU",0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI",0,0,0,0
"ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA",159,159,0,0
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",88,88,0,0
"ESTAÇÃO ECOLÓGICA PAULO DE FARIA",347,347,0,0
"ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO",45,45,0,0
"ESTAÇÃO ECOLÓGICA SANTA BÁRBARA",148,148,0,0
"ESTAÇÃO ECOLÓGICA SANTA MARIA",0,0,0,0
"ESTAÇÃO ECOLÓGICA SEBASTIÃO ALEIXO DA SILVA",0,0,0,0
"ESTAÇÃO ECOLÓGICA TANQUE GRANDE",0,0,0,0
"ESTAÇÃO ECOLÓGICA TUPINAMBÁS",0,0,0,0
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",0,0,0,0
"ESTAÇÃO ECOLÓGICA VALINHOS",4,4,0,0
"ESTAÇÃO ECOLÓGICA XITUÉ",3,3,0,0
"FLORESTA ESTADUAL ANGATUBA",6,6,0,0
"FLORESTA ESTADUAL ASSIS",12,12,0,0
"FLORESTA ESTADUAL AVARÉ I",7,7,0,0
"FLORESTA ESTADUAL AVARÉ II",0,0,0,0
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE",70,19,51,0
"FLORESTA ESTADUAL GUARULHOS",0,0,0,0
"FLORESTA ESTADUAL NOROESTE PAULISTA",0,0,0,0
"FLORESTA ESTADUAL PEDERNEIRAS",0,0,0,0
"FLORESTA ESTADUAL SERRA DÁGUA",0,0,0,0
"FLORESTA NACIONAL CAPÃO BONITO",0,0,0,0
"FLORESTA NACIONAL IPANEMA",188,188,0,0
"FLORESTA NACIONAL LORENA",1,1,0,0
"MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA",0,0,0,0
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ",0,0,0,0
"MONUMENTO NATURAL ESTADUAL PEDRA GRANDE",0,0,0,0
"MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ",0,0,0,0
"PARQUE ESTADUAL AGUAPEÍ",22,22,0,0
"PARQUE ESTADUAL ÁGUAS DA BILLINGS",1,1,0,0
"PARQUE ESTADUAL ÁGUAS DA PRATA",0,0,0,0
"PARQUE ESTADUAL ALBERTO LÖFGREN",123,22,101,0
"PARQUE ESTADUAL ARA",1,1,0,0
"PARQUE ESTADUAL ASSESSORIA DA REFORMA AGRÁRIA",0,0,0,0
"PARQUE ESTADUAL CAMPINA DO ENCANTADO",18,18,0,0
"PARQUE ESTADUAL CAMPOS DO JORDÃO",299,299,0,0
"PARQUE ESTADUAL CANTAREIRA",500,28,472,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO ÁGUAS CLARAS",0,0,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO CABUÇU",3,3,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO ENGORDADOR",2,2,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO PEDRA GRANDE",5,5,0,0
"PARQUE ESTADUAL CARLOS BOTELHO",290,290,0,0
"PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SÃO MIGUEL ARCANJO",9,9,0,0
"PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SETE BARRAS",14,14,0,0
"PARQUE ESTADUAL CAVERNA DO DIABO",66,66,0,0
"PARQUE ESTADUAL FONTES DO IPIRANGA",1680,1358,322,0
"PARQUE ESTADUAL FURNAS DO BOM JESUS",272,272,0,0
"PARQUE ESTADUAL ILHA ANCHIETA",167,95,72,0
"PARQUE ESTADUAL ILHA DO CARDOSO",1009,1009,0,0
"PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO MARUJÁ",0,0,0,0
"PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO PEREQUÊ",0,0,0,0
"PARQUE ESTADUAL ILHABELA",12,0,12,0
"PARQUE ESTADUAL INTERVALES",103,100,3,0
"PARQUE ESTADUAL INTERVALES – NÚCLEO GUAPIRUVU",0,0,0,0
"PARQUE ESTADUAL INTERVALES – NÚCLEO QUILOMBO",0,0,0,0
"PARQUE ESTADUAL ITABERABA",0,0,0,0
"PARQUE ESTADUAL ITAPETINGA",0,0,0,0
"PARQUE ESTADUAL ITINGUÇU",0,0,0,0
"PARQUE ESTADUAL ITINGUÇU – NÚCLEO ARPOADOR",0,0,0,0
"PARQUE ESTADUAL JARAGUÁ",86,86,0,0
"PARQUE ESTADUAL JUQUERY",92,92,0,0
"PARQUE ESTADUAL JURUPARÁ",9,9,0,0
"PARQUE ESTADUAL LAGAMAR DE CANANEIA",5,0,5,0
"PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO",1,1,0,0
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS",0,0,0,0
"PARQUE ESTADUAL MORRO DO DIABO",235,235,0,0
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA",2,2,0,0
"PARQUE ESTADUAL PORTO FERREIRA",74,60,14,0
"PARQUE ESTADUAL PRELADO",0,0,0,0
"PARQUE ESTADUAL RESTINGA DE BERTIOGA",86,49,37,0
"PARQUE ESTADUAL RIO DO PEIXE",0,0,0,0
"PARQUE ESTADUAL RIO TURVO",12,0,12,0
"PARQUE ESTADUAL RIO TURVO – NÚCLEO CAPELINHA",0,0,0,0
"PARQUE ESTADUAL RIO TURVO – NÚCLEO CEDRO",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR – CAMINHOS DO MAR",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO BERTIOGA",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CARAGUATATUBA",24,24,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CUNHA",51,51,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CURUCUTU",45,45,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO ITARIRU",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO ITUTINGA PILÕES",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO PADRE DÓRIA",1,1,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO PICINGUABA",54,54,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO SANTA VIRGÍNIA",14,14,0,0
"PARQUE ESTADUAL SERRA DO MAR – NÚCLEO SÃO SEBASTIÃO",0,0,0,0
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA",37,37,0,0
"PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO BULHA D'ÁGUA",0,0,0,0
"PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO CABOCLOS",8,8,0,0
