"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÀREA DE PROTEÇÃO AMBIENTAL DO SANA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÀREA DE PROTEÇÃO AMBIENTAL RETIRO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÀREA DE PROTEÇÃO AMBIENTAL RIO D´OURO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÀREA DE PROTEÇÃO AMBIENTAL TINGUAZINHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CITRÓPOLIS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA CICUTA",1,1,0,0,1,1,1,1,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA POSSE",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FORMIGUEIRO-DO-LITORAL",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS CATAGUÁS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ITAPEBUSSUS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MARITACAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO CONRADO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO HENRY",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO- ILHAS DO RIO PARAIBA DO SUL",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA",10,2,0,6,8,8,7,4,0,0
"ESTAÇÃO ECOLÓGICA GUANABARA",1,1,0,0,1,1,1,1,0,0
"ESTAÇÃO ECOLÓGICA MONTE DAS FLORES",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA TAMOIOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA ESTADUAL JOSÉ ZAGO",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL MÁRIO XAVIER",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUIMENTO NATURAL PEDRA DAS FLORES",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ÁGUA SANTA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ARQUIPÉLAGO DAS ILHAS CAGARRAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL CAPELA DOS ESCRAVOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ESTADUAL SERRA DA BELEZA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ESTADUAL SERRA DOS MASCATES",1,0,0,0,1,1,1,1,1,0
"MONUMENTO NATURAL ICARAHY",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL ILHAS CAGARRAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL JOSEFA BRAGA DE ALMEIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MORROS DO PÃO DE AÇÚCAR E URCA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL BICO-DOCE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA CACHOEIRA DA MARAVILHA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA CONCÓRDIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA FLORESTA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA PEDRA BONITA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA PEDRA DE INOÃ",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA PEDRA DE ITAOCAIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA PEDRA DO COLÉGIO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA SERRA DA BOLÍVIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA SERRA DA PRATA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA SERRA DE FRECHEIRAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DAS CACHOEIRAS E CORREDEIRAS DO RIO ITABAPOANA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL DO ENCONTRO DOS TRÊS RIOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL LAGOA AZUL",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL PEDRA DO CÃO SENTADO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL PEDRA SÃO JOAQUIM",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL PICO DO CAMBOTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL SÃO SIMÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PEDRA DO ELEFANTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PEDRA REDONDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PICO DO FRADE",0,0,0,0,NA,NA,NA,NA,NA,NA
